#Release 14.4 - par P.49d (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sat Mar 28 16:59:43 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MaiModule_map.ncd
#OUTPUT FILE:      MaiModule_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,TestA1,IOB,IO_L52N_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P6,TestA0,IOB,IO_L52P_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P7,TestA2,IOB,IO_L51N_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P8,,IOBM,IO_L51P_3,UNUSED,,3,,,,,,,,,
P9,TestA3,IOB,IO_L50N_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P10,TestA4,IOB,IO_L50P_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P11,TestA5,IOB,IO_L49N_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P12,TestA6,IOB,IO_L49P_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,TestA7,IOB,IO_L44N_GCLK20_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P15,TestB0,IOB,IO_L44P_GCLK21_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P16,TestB1,IOB,IO_L43N_GCLK22_IRDY2_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P17,TestB2,IOB,IO_L43P_GCLK23_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,,IOBS,IO_L42N_GCLK24_3,UNUSED,,3,,,,,,,,,
P22,TestB3,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P23,TestB4,IOB,IO_L41N_GCLK26_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P24,,IOBM,IO_L41P_GCLK27_3,UNUSED,,3,,,,,,,,,
P25,,,GND,,,,,,,,,,,,
P26,TestB5,IOB,IO_L37N_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P27,TestB6,IOB,IO_L37P_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,TestB7,IOB,IO_L36N_3,OUTPUT,LVCMOS33,3,6,SLOW,,,,LOCATED,NO,NONE,
P30,,IOBM,IO_L36P_3,UNUSED,,3,,,,,,,,,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,WR_FTDI,IOB,IO_L2N_3,OUTPUT,LVCMOS33,3,2,SLOW,,,,LOCATED,NO,NONE,
P33,RD_FTDI,IOB,IO_L2P_3,OUTPUT,LVCMOS33,3,2,SLOW,,,,LOCATED,NO,NONE,
P34,rxf,IOB,IO_L1N_VREF_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P35,txe,IOB,IO_L1P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,SPI_CS,IOB,IO_L65N_CSO_B_2,OUTPUT,LVCMOS33,2,2,SLOW,,,,LOCATED,NO,NONE,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,FTDIbus<3>,IOB,IO_L64N_D9_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P41,FTDIbus<6>,IOB,IO_L64P_D8_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
